Month,Revenue,Orders,Average_Order_Value
Jan-2020,"10,000",200,50
Feb-2020,"11,000",220,50
Mar-2020,"12,000",240,50
Apr-2020,"13,000",260,50
May-2020,"14,000",280,50
Jun-2020,"15,000",300,50
Jul-2020,"16,000",320,50
Aug-2020,"17,000",340,50
Sep-2020,"18,000",360,50
Oct-2020,"19,000",380,50
Nov-2020,"20,000",400,50
Dec-2020,"21,000",420,50
Jan-2021,"22,000",440,50
Feb-2021,"23,000",460,50
Mar-2021,"24,000",480,50
Apr-2021,"25,000",500,50
May-2021,"26,000",520,50
Jun-2021,"27,000",540,50
Jul-2021,"28,000",560,50
Aug-2021,"29,000",580,50
Sep-2021,"30,000",600,50
Oct-2021,"31,000",620,50
Nov-2021,"32,000",640,50
Dec-2021,"33,000",660,50
