id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2818,Quiet Garden View Room & Super Fast Wi-Fi,3159,Daniel,,Oostelijk Havengebied - Indische Buurt,52.36435,4.94358,Private room,69,3,322,2023-02-28,1.90,1,44,37,0363 5F3A 5684 6750 D14D
20168,Studio with private bathroom in the centre 1,59484,Alexander,,Centrum-Oost,52.36407,4.89393,Private room,106,1,339,2020-04-09,2.14,2,0,0,0363 CBB3 2C10 0C2A 1E29
27886,"Romantic, stylish B&B houseboat in canal district",97647,Flip,,Centrum-West,52.38761,4.89188,Private room,143,3,248,2023-02-26,1.82,1,14,20,0363 974D 4986 7411 88D8
28871,Comfortable double room,124245,Edwin,,Centrum-West,52.36775,4.89092,Private room,76,2,476,2023-02-28,3.12,2,79,97,0363 607B EA74 0BD8 2F6F
29051,Comfortable single room,124245,Edwin,,Centrum-Oost,52.36584,4.89111,Private room,56,2,618,2023-03-03,4.23,2,69,85,0363 607B EA74 0BD8 2F6F
44391,Quiet 2-bedroom Amsterdam city centre apartment,194779,Jan,,Centrum-Oost,52.37168,4.91471,Entire home/apt,240,3,44,2022-08-20,0.29,1,0,3,0363 E76E F06A C1DD 172C
311124,*historic centre* *bright* *canal view* *jordaan*,1600010,Anke & Robert,,Centrum-West,52.37104,4.87713,Entire home/apt,325,5,87,2023-01-01,0.66,1,346,3,0363 59D8 7D30 6CFA DC81
49552,Multatuli Luxury Guest Suite in top location,225987,Joanna & MP,,Centrum-West,52.38028,4.89089,Entire home/apt,257,3,462,2023-02-23,3.07,1,134,64,0363 576A D827 5085 6B83
729260,Great location modern apartment,3788198,Martin,,Centrum-West,52.38079,4.88536,Entire home/apt,200,2,109,2021-08-30,0.87,1,102,0,0363 F6EF 50E3 40EB 1CFB
50263,Cent Adam Lux 2bed(4p) apt 125 sqm,230246,Donald,,Centrum-Oost,52.37118,4.93146,Entire home/apt,395,4,163,2016-05-03,1.08,1,341,0,0363 7F3D 0BAE 28C8 C7D2
729317,Suite 2 Stay - studio Beautiful Barok - canal area,3788673,Laurens En Petra,,Centrum-Oost,52.36052,4.89568,Private room,129,3,126,2023-02-05,1.75,2,32,35,0363 EC5F 15FE 498F 9173
319985,Elegant Appartement Central Location.,1640702,J,,De Pijp - Rivierenbuurt,52.35669,4.90187,Entire home/apt,244,1,492,2023-02-21,3.73,2,41,88,0363 7D88 E1E8 F521 9A10
50523,B & B de 9 Straatjes (city center),231946,Raymond,,Centrum-West,52.36811,4.88262,Private room,133,2,385,2023-02-22,2.60,1,175,71,0363 22DC 0E52 B70B 0FB8
327285,beautiful designed ap.+bikes+garden,1672823,Ester,,De Pijp - Rivierenbuurt,52.35625,4.89323,Private room,244,2,561,2023-03-04,4.19,2,13,26,0363 8A88 B129 62B5 BD4E
